column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
1003,2,2,Shipping on time,0,2018-01-12 22:06:00.0000000,Second Class,Pacific Asia,75761
1004,6,2,Late delivery,1,2018-01-16 21:45:00.0000000,Second Class,Pacific Asia,75760
1005,2,1,Late delivery,1,2018-01-12 21:24:00.0000000,First Class,Pacific Asia,75759
1006,4,2,Late delivery,1,2018-01-14 21:03:00.0000000,Second Class,Pacific Asia,75758
1007,3,4,Advance shipping,0,2018-01-13 20:42:00.0000000,Standard Class,Pacific Asia,75757
1008,2,4,Advance shipping,0,2018-01-12 20:21:00.0000000,Standard Class,Pacific Asia,75756
1009,6,4,Late delivery,1,2018-01-16 20:00:00.0000000,Standard Class,Pacific Asia,75755
1010,5,2,Late delivery,1,2018-01-15 19:39:00.0000000,Second Class,Pacific Asia,75754
1011,4,2,Late delivery,1,2018-01-14 19:17:00.0000000,Second Class,Pacific Asia,75753
1012,3,4,Advance shipping,0,2018-01-13 18:56:00.0000000,Standard Class,Pacific Asia,75752
1013,2,4,Advance shipping,0,2018-01-12 18:35:00.0000000,Standard Class,Pacific Asia,75751
1014,6,4,Late delivery,1,2018-01-16 18:14:00.0000000,Standard Class,Pacific Asia,75750
1015,5,4,Shipping canceled,0,2018-01-15 17:53:00.0000000,Standard Class,Pacific Asia,75749
1016,4,2,Late delivery,1,2018-01-14 17:32:00.0000000,Second Class,Pacific Asia,75748
1017,1,0,Late delivery,1,2018-01-11 05:11:00.0000000,Same Day,Pacific Asia,75747
1018,2,4,Advance shipping,0,2018-01-12 16:50:00.0000000,Standard Class,Pacific Asia,75746
1019,6,4,Late delivery,1,2018-01-16 16:29:00.0000000,Standard Class,Pacific Asia,75745
1020,5,4,Late delivery,1,2018-01-15 16:08:00.0000000,Standard Class,Pacific Asia,75744
1021,4,4,Shipping on time,0,2018-01-14 15:47:00.0000000,Standard Class,Pacific Asia,75743
1022,3,4,Shipping canceled,0,2018-01-13 15:26:00.0000000,Standard Class,Pacific Asia,75742
1023,2,4,Advance shipping,0,2018-01-12 15:05:00.0000000,Standard Class,Pacific Asia,75741
1024,6,4,Late delivery,1,2018-01-16 14:44:00.0000000,Standard Class,Pacific Asia,75740
1025,5,4,Late delivery,1,2018-01-15 14:23:00.0000000,Standard Class,Pacific Asia,75739
1026,4,4,Shipping on time,0,2018-01-14 14:02:00.0000000,Standard Class,Pacific Asia,75738
1027,3,4,Advance shipping,0,2018-01-13 13:41:00.0000000,Standard Class,Pacific Asia,75737
1028,2,4,Advance shipping,0,2018-01-12 13:20:00.0000000,Standard Class,Pacific Asia,75736
1029,6,4,Late delivery,1,2018-01-16 12:59:00.0000000,Standard Class,Pacific Asia,75735
1030,5,2,Late delivery,1,2018-01-15 12:38:00.0000000,Second Class,Pacific Asia,75734
1031,4,2,Late delivery,1,2018-01-14 12:17:00.0000000,Second Class,Pacific Asia,75733
1032,3,4,Advance shipping,0,2018-01-13 11:56:00.0000000,Standard Class,Pacific Asia,75732
1033,2,4,Advance shipping,0,2018-01-12 11:35:00.0000000,Standard Class,Pacific Asia,75731
1034,6,2,Late delivery,1,2018-01-16 11:14:00.0000000,Second Class,Pacific Asia,75730
1035,5,2,Shipping canceled,0,2018-01-15 10:53:00.0000000,Second Class,Pacific Asia,75729
1036,2,4,Advance shipping,0,2017-12-06 20:13:00.0000000,Standard Class,Pacific Asia,73221
1037,6,4,Late delivery,1,2017-12-10 19:52:00.0000000,Standard Class,Pacific Asia,73220
1038,5,4,Late delivery,1,2017-12-09 19:31:00.0000000,Standard Class,Pacific Asia,73219
1039,4,4,Shipping on time,0,2017-12-08 19:10:00.0000000,Standard Class,Pacific Asia,73218
1040,3,4,Advance shipping,0,2017-12-07 18:49:00.0000000,Standard Class,Pacific Asia,73217
1041,2,4,Advance shipping,0,2017-12-06 18:28:00.0000000,Standard Class,Pacific Asia,73216
1042,6,4,Late delivery,1,2017-12-10 18:07:00.0000000,Standard Class,Pacific Asia,73215
1043,5,4,Late delivery,1,2017-12-09 17:46:00.0000000,Standard Class,Pacific Asia,73214
1044,4,2,Late delivery,1,2017-12-08 17:25:00.0000000,Second Class,Pacific Asia,73213
1045,3,4,Advance shipping,0,2017-12-07 17:04:00.0000000,Standard Class,Pacific Asia,73212
1046,2,4,Advance shipping,0,2017-12-06 16:43:00.0000000,Standard Class,Pacific Asia,73211
1047,6,4,Late delivery,1,2017-12-10 16:22:00.0000000,Standard Class,Pacific Asia,73210
1048,5,4,Late delivery,1,2017-12-09 16:01:00.0000000,Standard Class,Pacific Asia,73209
1049,4,4,Shipping on time,0,2017-12-08 15:40:00.0000000,Standard Class,Pacific Asia,73208
1050,3,4,Advance shipping,0,2017-12-07 15:19:00.0000000,Standard Class,Pacific Asia,73207
1051,2,1,Late delivery,1,2017-12-06 14:58:00.0000000,First Class,Pacific Asia,73206
1052,2,1,Late delivery,1,2017-12-06 14:37:00.0000000,First Class,Pacific Asia,73205
1053,2,1,Late delivery,1,2017-12-06 14:16:00.0000000,First Class,Pacific Asia,73204
1054,2,1,Late delivery,1,2017-12-06 13:55:00.0000000,First Class,Pacific Asia,73203
1055,3,4,Advance shipping,0,2017-12-07 13:34:00.0000000,Standard Class,Pacific Asia,73202
1056,2,4,Advance shipping,0,2017-12-06 13:13:00.0000000,Standard Class,Pacific Asia,73201
1057,6,4,Late delivery,1,2017-12-10 12:52:00.0000000,Standard Class,Pacific Asia,73200
1058,5,4,Late delivery,1,2017-12-09 12:31:00.0000000,Standard Class,Pacific Asia,73199
1059,4,4,Shipping on time,0,2017-12-08 12:10:00.0000000,Standard Class,Pacific Asia,73198
1060,3,4,Advance shipping,0,2017-12-07 11:49:00.0000000,Standard Class,Pacific Asia,73197
1061,2,2,Shipping on time,0,2017-12-06 11:28:00.0000000,Second Class,Pacific Asia,73196
1062,6,4,Late delivery,1,2017-12-10 11:07:00.0000000,Standard Class,Pacific Asia,73195
1063,5,2,Late delivery,1,2017-12-09 10:46:00.0000000,Second Class,Pacific Asia,73194
1064,2,1,Late delivery,1,2017-12-06 10:25:00.0000000,First Class,Pacific Asia,73193
1065,3,4,Advance shipping,0,2017-12-07 10:04:00.0000000,Standard Class,Pacific Asia,73192
1066,2,2,Shipping on time,0,2017-12-06 09:43:00.0000000,Second Class,Pacific Asia,73191
1067,6,2,Late delivery,1,2017-12-10 09:22:00.0000000,Second Class,Pacific Asia,73190
1068,5,2,Late delivery,1,2017-12-09 09:00:00.0000000,Second Class,Pacific Asia,73189
1069,2,1,Late delivery,1,2017-12-06 08:39:00.0000000,First Class,Pacific Asia,73188
1070,3,4,Advance shipping,0,2017-12-07 08:18:00.0000000,Standard Class,Pacific Asia,73187
1071,2,4,Shipping canceled,0,2017-12-06 07:57:00.0000000,Standard Class,Pacific Asia,73186
1072,6,4,Late delivery,1,2017-12-10 07:36:00.0000000,Standard Class,Pacific Asia,73185
1073,5,4,Late delivery,1,2017-12-09 07:15:00.0000000,Standard Class,Pacific Asia,73184
1074,4,4,Shipping on time,0,2017-12-08 06:54:00.0000000,Standard Class,Pacific Asia,73183
1075,0,0,Shipping on time,0,2017-12-04 18:33:00.0000000,Same Day,Pacific Asia,73182
1076,2,4,Advance shipping,0,2017-12-06 06:12:00.0000000,Standard Class,Pacific Asia,73181
1077,6,4,Late delivery,1,2017-12-10 05:51:00.0000000,Standard Class,Pacific Asia,73180
1078,5,4,Late delivery,1,2017-12-09 05:30:00.0000000,Standard Class,Pacific Asia,73179
1079,4,4,Shipping on time,0,2017-12-08 05:09:00.0000000,Standard Class,Pacific Asia,73178
1080,3,4,Advance shipping,0,2017-12-07 04:48:00.0000000,Standard Class,Pacific Asia,73177
1081,2,4,Advance shipping,0,2017-12-06 04:27:00.0000000,Standard Class,Pacific Asia,73176
1082,6,4,Late delivery,1,2017-12-10 04:06:00.0000000,Standard Class,Pacific Asia,73175
1083,5,4,Shipping canceled,0,2017-12-09 03:45:00.0000000,Standard Class,Pacific Asia,73174
1084,4,4,Shipping on time,0,2017-12-08 03:24:00.0000000,Standard Class,Pacific Asia,73173
1085,3,4,Advance shipping,0,2017-12-07 03:03:00.0000000,Standard Class,Pacific Asia,73172
1086,2,4,Advance shipping,0,2017-12-06 02:42:00.0000000,Standard Class,Pacific Asia,73171
1087,2,1,Late delivery,1,2017-12-06 02:21:00.0000000,First Class,Pacific Asia,73170
1088,2,1,Late delivery,1,2017-12-06 02:00:00.0000000,First Class,Pacific Asia,73169
1089,2,1,Shipping canceled,0,2017-12-06 01:39:00.0000000,First Class,Pacific Asia,73168
1090,3,4,Advance shipping,0,2017-12-07 01:18:00.0000000,Standard Class,Pacific Asia,73167
1091,2,4,Advance shipping,0,2017-12-06 00:57:00.0000000,Standard Class,Pacific Asia,73166
1092,6,4,Late delivery,1,2017-12-10 00:36:00.0000000,Standard Class,Pacific Asia,73165
1093,5,4,Late delivery,1,2017-12-09 00:15:00.0000000,Standard Class,Pacific Asia,73164
1094,2,1,Late delivery,1,2017-12-05 23:54:00.0000000,First Class,Pacific Asia,73163
1095,2,1,Late delivery,1,2017-12-05 23:33:00.0000000,First Class,Pacific Asia,73162
1096,2,4,Advance shipping,0,2017-12-05 23:12:00.0000000,Standard Class,Pacific Asia,73161
1097,6,4,Late delivery,1,2017-12-09 22:51:00.0000000,Standard Class,Pacific Asia,73160
1098,5,4,Late delivery,1,2017-12-08 22:30:00.0000000,Standard Class,Pacific Asia,73159
1099,4,4,Shipping on time,0,2017-12-07 22:09:00.0000000,Standard Class,Pacific Asia,73158
1100,3,4,Advance shipping,0,2017-12-06 21:48:00.0000000,Standard Class,Pacific Asia,73157
1101,2,1,Late delivery,1,2017-12-05 21:27:00.0000000,First Class,Pacific Asia,73156
1102,6,4,Late delivery,1,2017-12-09 21:06:00.0000000,Standard Class,Pacific Asia,73155
1103,5,4,Late delivery,1,2017-12-08 20:45:00.0000000,Standard Class,Pacific Asia,73154
1104,4,4,Shipping on time,0,2017-12-07 20:24:00.0000000,Standard Class,Pacific Asia,73153
1105,3,4,Advance shipping,0,2017-12-06 20:03:00.0000000,Standard Class,Pacific Asia,73152
1106,2,4,Advance shipping,0,2017-12-05 19:42:00.0000000,Standard Class,Pacific Asia,73151
1107,6,4,Late delivery,1,2017-12-09 19:21:00.0000000,Standard Class,Pacific Asia,73150
1108,5,4,Late delivery,1,2017-12-08 19:00:00.0000000,Standard Class,Pacific Asia,73149
1109,4,4,Shipping on time,0,2017-12-07 18:39:00.0000000,Standard Class,Pacific Asia,73148
1110,3,4,Advance shipping,0,2017-12-06 18:18:00.0000000,Standard Class,Pacific Asia,73147
1111,2,2,Shipping on time,0,2017-12-05 17:57:00.0000000,Second Class,Pacific Asia,73146
1112,2,1,Late delivery,1,2017-12-05 17:36:00.0000000,First Class,Pacific Asia,73145
1113,5,4,Late delivery,1,2017-12-08 17:15:00.0000000,Standard Class,Pacific Asia,73144
1114,4,4,Shipping on time,0,2017-12-07 16:54:00.0000000,Standard Class,Pacific Asia,73143
1115,3,4,Advance shipping,0,2017-12-06 16:33:00.0000000,Standard Class,Pacific Asia,73142
1116,2,4,Advance shipping,0,2017-12-05 16:11:00.0000000,Standard Class,Pacific Asia,73141
1117,6,4,Late delivery,1,2017-12-09 15:50:00.0000000,Standard Class,Pacific Asia,73140
1118,5,4,Late delivery,1,2017-12-08 15:29:00.0000000,Standard Class,Pacific Asia,73139
1119,4,4,Shipping on time,0,2017-12-07 15:08:00.0000000,Standard Class,Pacific Asia,73138
1120,3,4,Shipping canceled,0,2017-12-06 14:47:00.0000000,Standard Class,Pacific Asia,73137
1121,2,4,Advance shipping,0,2017-12-05 14:26:00.0000000,Standard Class,Pacific Asia,73136
1122,6,4,Shipping canceled,0,2017-12-09 14:05:00.0000000,Standard Class,Pacific Asia,73135
1123,2,1,Late delivery,1,2017-12-05 13:44:00.0000000,First Class,Pacific Asia,73134
1124,2,1,Late delivery,1,2017-12-05 13:23:00.0000000,First Class,Pacific Asia,73133
1125,2,1,Shipping canceled,0,2017-12-05 13:02:00.0000000,First Class,Pacific Asia,73132
1126,2,1,Late delivery,1,2017-12-05 12:41:00.0000000,First Class,Pacific Asia,73131
1127,2,1,Late delivery,1,2017-12-05 12:20:00.0000000,First Class,Pacific Asia,73130
1128,2,1,Late delivery,1,2017-12-05 11:59:00.0000000,First Class,Pacific Asia,73129
1129,2,1,Late delivery,1,2017-12-05 11:38:00.0000000,First Class,Pacific Asia,73128
1130,2,1,Late delivery,1,2017-12-05 11:17:00.0000000,First Class,Pacific Asia,73127
1131,2,4,Advance shipping,0,2017-12-05 10:56:00.0000000,Standard Class,Pacific Asia,73126
1132,6,4,Late delivery,1,2017-12-09 10:35:00.0000000,Standard Class,Pacific Asia,73125
1133,5,4,Late delivery,1,2017-12-08 10:14:00.0000000,Standard Class,Pacific Asia,73124
1134,4,4,Shipping on time,0,2017-12-07 09:53:00.0000000,Standard Class,Pacific Asia,73123
1135,3,4,Advance shipping,0,2017-12-06 09:32:00.0000000,Standard Class,Pacific Asia,73122
1136,2,2,Shipping on time,0,2017-12-05 09:11:00.0000000,Second Class,Pacific Asia,73121
1137,6,2,Late delivery,1,2017-12-09 08:50:00.0000000,Second Class,Pacific Asia,73120
1138,5,4,Late delivery,1,2017-12-08 08:29:00.0000000,Standard Class,Pacific Asia,73119
1139,4,4,Shipping on time,0,2017-12-07 08:08:00.0000000,Standard Class,Pacific Asia,73118
1140,3,4,Advance shipping,0,2017-12-06 07:47:00.0000000,Standard Class,Pacific Asia,73117
1141,2,4,Advance shipping,0,2017-12-05 07:26:00.0000000,Standard Class,Pacific Asia,73116
1142,6,4,Late delivery,1,2017-12-09 07:05:00.0000000,Standard Class,Pacific Asia,73115
1143,5,4,Late delivery,1,2017-12-08 06:44:00.0000000,Standard Class,Pacific Asia,73114
1144,4,4,Shipping on time,0,2017-12-07 06:23:00.0000000,Standard Class,Pacific Asia,73113
1145,3,4,Advance shipping,0,2017-12-06 06:02:00.0000000,Standard Class,Pacific Asia,73112
1146,2,4,Advance shipping,0,2017-12-05 05:41:00.0000000,Standard Class,Pacific Asia,73111
1147,6,4,Late delivery,1,2017-12-09 05:20:00.0000000,Standard Class,Pacific Asia,73110
1148,5,4,Late delivery,1,2017-12-08 04:59:00.0000000,Standard Class,Pacific Asia,73109
1149,4,4,Shipping on time,0,2017-12-07 04:38:00.0000000,Standard Class,Pacific Asia,73108
1150,3,2,Late delivery,1,2017-12-06 04:17:00.0000000,Second Class,Pacific Asia,73107
1151,2,4,Advance shipping,0,2017-12-05 03:56:00.0000000,Standard Class,Pacific Asia,73106
1152,6,4,Shipping canceled,0,2017-12-09 03:35:00.0000000,Standard Class,Pacific Asia,73105
1153,5,2,Late delivery,1,2017-12-08 03:14:00.0000000,Second Class,Pacific Asia,73104
1154,4,2,Late delivery,1,2017-12-07 02:53:00.0000000,Second Class,Pacific Asia,73103
1155,3,2,Late delivery,1,2017-12-06 02:32:00.0000000,Second Class,Pacific Asia,73102
1156,2,2,Shipping on time,0,2017-12-05 02:11:00.0000000,Second Class,Pacific Asia,73101
1157,0,0,Shipping on time,0,2017-12-03 13:50:00.0000000,Same Day,Pacific Asia,73100
1158,0,0,Shipping on time,0,2017-12-03 13:29:00.0000000,Same Day,Pacific Asia,73099
1159,4,4,Shipping on time,0,2017-12-07 01:08:00.0000000,Standard Class,Pacific Asia,73098
1160,3,4,Advance shipping,0,2017-12-06 00:47:00.0000000,Standard Class,Pacific Asia,73097
1161,6,2,Late delivery,1,2015-03-08 08:19:00.0000000,Second Class,LATAM,4135
1162,3,2,Late delivery,1,2017-04-05 16:01:00.0000000,Second Class,LATAM,56357
1163,2,2,Shipping on time,0,2015-04-05 07:55:00.0000000,Second Class,LATAM,6326
1164,6,2,Late delivery,1,2015-03-06 00:16:00.0000000,Second Class,LATAM,3975
1165,4,2,Late delivery,1,2015-05-04 03:30:00.0000000,Second Class,LATAM,8163
1166,3,2,Late delivery,1,2015-03-03 04:28:00.0000000,Second Class,LATAM,3987
1167,4,2,Late delivery,1,2015-05-10 04:54:00.0000000,Second Class,LATAM,8578
1168,2,2,Shipping on time,0,2017-03-29 02:00:00.0000000,Second Class,LATAM,55906
1169,5,2,Late delivery,1,2015-06-03 08:33:00.0000000,Second Class,LATAM,10164
1170,4,2,Late delivery,1,2016-02-20 12:54:00.0000000,Second Class,Pacific Asia,28193
1171,2,2,Shipping on time,0,2016-03-29 08:39:00.0000000,Second Class,Pacific Asia,30921
1172,5,2,Late delivery,1,2015-11-01 15:52:00.0000000,Second Class,Pacific Asia,20529
1173,3,2,Late delivery,1,2016-04-10 16:31:00.0000000,Second Class,USCA,31697
1174,2,2,Shipping on time,0,2016-06-30 03:05:00.0000000,Second Class,USCA,37276
1175,6,2,Late delivery,1,2016-07-02 17:27:00.0000000,Second Class,USCA,37180
1176,6,2,Late delivery,1,2016-08-22 07:24:00.0000000,Second Class,USCA,40645
1177,2,4,Advance shipping,0,2016-11-18 08:40:00.0000000,Standard Class,Africa,46951
1178,6,4,Late delivery,1,2016-11-19 01:29:00.0000000,Standard Class,Africa,46725
1179,4,4,Shipping on time,0,2016-10-25 18:31:00.0000000,Standard Class,Africa,45198
1180,4,4,Shipping on time,0,2016-10-28 23:35:00.0000000,Standard Class,Africa,45418
1181,6,4,Late delivery,1,2016-09-24 12:26:00.0000000,Standard Class,Africa,42920
1182,6,4,Late delivery,1,2016-10-17 08:43:00.0000000,Standard Class,Africa,44485
1183,4,4,Shipping on time,0,2017-01-06 23:30:00.0000000,Standard Class,Africa,50213
1184,3,4,Advance shipping,0,2016-12-13 18:06:00.0000000,Standard Class,Africa,48622
1185,3,4,Advance shipping,0,2016-12-21 18:47:00.0000000,Standard Class,Africa,49172
1186,3,4,Advance shipping,0,2016-11-18 17:15:00.0000000,Standard Class,Africa,46907
1187,3,4,Advance shipping,0,2016-10-07 16:16:00.0000000,Standard Class,Africa,44027
1188,2,4,Advance shipping,0,2016-10-05 22:24:00.0000000,Standard Class,Africa,43976
1189,5,4,Late delivery,1,2016-09-01 09:18:00.0000000,Standard Class,Africa,41404
1190,3,4,Advance shipping,0,2016-08-30 22:37:00.0000000,Standard Class,Africa,41442
1191,6,4,Late delivery,1,2016-09-05 19:59:00.0000000,Standard Class,Africa,41640
1192,6,4,Late delivery,1,2017-01-05 20:52:00.0000000,Standard Class,Africa,50000
1193,4,4,Shipping on time,0,2016-12-04 07:57:00.0000000,Standard Class,Africa,47908
1194,3,4,Advance shipping,0,2016-08-29 04:35:00.0000000,Standard Class,Africa,41322
1195,5,4,Late delivery,1,2017-01-10 23:40:00.0000000,Standard Class,Africa,50419
1196,5,4,Late delivery,1,2017-01-10 04:24:00.0000000,Standard Class,Africa,50364
1197,3,4,Advance shipping,0,2016-09-18 11:33:00.0000000,Standard Class,Africa,42712
1198,6,4,Late delivery,1,2017-01-22 01:45:00.0000000,Standard Class,Africa,51110
1199,3,4,Advance shipping,0,2017-10-30 19:55:00.0000000,Standard Class,Europe,70617
1200,5,4,Late delivery,1,2017-08-05 09:32:00.0000000,Standard Class,Europe,64559
1201,6,4,Late delivery,1,2017-08-09 13:13:00.0000000,Standard Class,Europe,64775
1202,3,4,Advance shipping,0,2017-09-10 04:14:00.0000000,Standard Class,Europe,67147
1203,4,4,Shipping on time,0,2015-06-19 11:51:00.0000000,Standard Class,Europe,11338
1204,6,4,Late delivery,1,2017-10-12 13:28:00.0000000,Standard Class,Europe,69160
1205,6,4,Late delivery,1,2017-10-22 08:12:00.0000000,Standard Class,Europe,69830
1206,2,4,Advance shipping,0,2017-11-06 08:00:00.0000000,Standard Class,Europe,71131
1207,5,4,Late delivery,1,2017-10-17 09:15:00.0000000,Standard Class,Europe,69559
1208,6,4,Late delivery,1,2017-10-20 05:24:00.0000000,Standard Class,Europe,69685
1209,4,4,Shipping on time,0,2017-10-18 04:42:00.0000000,Standard Class,Europe,69683
1210,2,4,Advance shipping,0,2017-10-18 12:03:00.0000000,Standard Class,Europe,69841
1211,4,4,Shipping on time,0,2017-11-06 02:24:00.0000000,Standard Class,Europe,70978
1212,4,4,Shipping on time,0,2017-10-15 04:53:00.0000000,Standard Class,Europe,69478
1213,2,4,Advance shipping,0,2017-10-16 14:31:00.0000000,Standard Class,Europe,69711
1214,2,4,Advance shipping,0,2017-10-31 17:07:00.0000000,Standard Class,Europe,70746
1215,2,4,Advance shipping,0,2017-10-13 04:11:00.0000000,Standard Class,Europe,69476
1216,4,4,Shipping on time,0,2017-10-21 23:47:00.0000000,Standard Class,Europe,69943
1217,3,4,Advance shipping,0,2017-10-19 03:39:00.0000000,Standard Class,Europe,69817
1218,6,4,Late delivery,1,2017-10-19 18:53:00.0000000,Standard Class,Europe,69655
1219,5,4,Late delivery,1,2017-11-03 16:25:00.0000000,Standard Class,Europe,70744
1220,4,4,Shipping on time,0,2017-09-19 12:16:00.0000000,Standard Class,Europe,67718
1221,6,4,Late delivery,1,2017-07-07 23:56:00.0000000,Standard Class,Europe,62545
1222,5,4,Late delivery,1,2017-08-22 02:41:00.0000000,Standard Class,Europe,65704
1223,5,4,Late delivery,1,2016-11-08 09:55:00.0000000,Standard Class,Europe,46064
1224,5,4,Late delivery,1,2015-06-12 02:45:00.0000000,Standard Class,Europe,10764
1225,3,4,Advance shipping,0,2017-09-12 17:32:00.0000000,Standard Class,Europe,67322
1226,2,4,Advance shipping,0,2015-09-15 12:46:00.0000000,Standard Class,Europe,17506
1227,6,4,Late delivery,1,2017-07-17 09:55:00.0000000,Standard Class,Europe,63190
1228,3,4,Advance shipping,0,2015-10-25 03:47:00.0000000,Standard Class,Europe,20152
1229,5,4,Late delivery,1,2015-09-03 19:59:00.0000000,Standard Class,Europe,16499
1230,2,4,Advance shipping,0,2016-10-16 19:24:00.0000000,Standard Class,Europe,44721
1231,6,4,Late delivery,1,2015-09-23 04:01:00.0000000,Standard Class,Europe,17755
1232,6,4,Late delivery,1,2015-09-12 22:46:00.0000000,Standard Class,Europe,17055
1233,2,4,Advance shipping,0,2017-09-29 14:22:00.0000000,Standard Class,Europe,68546
1234,6,4,Late delivery,1,2017-10-30 08:53:00.0000000,Standard Class,Europe,70380
1235,5,4,Late delivery,1,2017-11-09 19:34:00.0000000,Standard Class,Europe,71164
1236,6,4,Late delivery,1,2015-10-11 20:27:00.0000000,Standard Class,Europe,19035
1237,5,4,Late delivery,1,2015-09-23 05:56:00.0000000,Standard Class,Europe,17829
1238,4,4,Shipping on time,0,2017-10-29 03:28:00.0000000,Standard Class,Europe,70433
1239,6,4,Late delivery,1,2015-10-29 14:07:00.0000000,Standard Class,Europe,20250
1240,6,4,Late delivery,1,2017-06-29 03:59:00.0000000,Standard Class,Europe,61940
1241,6,4,Late delivery,1,2015-07-05 12:53:00.0000000,Standard Class,Europe,12300
1242,2,4,Advance shipping,0,2015-10-05 21:30:00.0000000,Standard Class,Europe,18901
1243,4,4,Shipping on time,0,2015-07-02 08:09:00.0000000,Standard Class,Europe,12218
1244,2,4,Advance shipping,0,2016-09-19 01:45:00.0000000,Standard Class,Europe,42821
1245,6,4,Late delivery,1,2015-09-18 04:53:00.0000000,Standard Class,Europe,17415
1246,5,4,Late delivery,1,2015-09-12 21:11:00.0000000,Standard Class,Europe,17119
1247,4,4,Shipping on time,0,2015-06-30 17:37:00.0000000,Standard Class,Europe,12108
1248,5,4,Late delivery,1,2015-09-24 02:57:00.0000000,Standard Class,Europe,17889
1249,6,4,Late delivery,1,2017-07-16 09:23:00.0000000,Standard Class,Europe,63120
1250,6,4,Late delivery,1,2015-07-13 11:49:00.0000000,Standard Class,Europe,12845
1251,4,4,Shipping on time,0,2015-07-10 12:21:00.0000000,Standard Class,Europe,12778
1252,3,4,Advance shipping,0,2015-08-17 07:55:00.0000000,Standard Class,Europe,15437
1253,4,4,Shipping on time,0,2017-07-23 16:55:00.0000000,Standard Class,Europe,63758
1254,2,4,Advance shipping,0,2015-08-26 04:03:00.0000000,Standard Class,Europe,16111
1255,4,4,Shipping on time,0,2015-07-17 14:16:00.0000000,Standard Class,Europe,13263
1256,6,4,Late delivery,1,2017-07-19 07:27:00.0000000,Standard Class,Europe,63320
1257,6,4,Late delivery,1,2017-10-05 01:03:00.0000000,Standard Class,Europe,68645
1258,2,4,Advance shipping,0,2015-09-19 07:52:00.0000000,Standard Class,Europe,17766
1259,6,4,Late delivery,1,2015-06-26 02:54:00.0000000,Standard Class,Europe,11655
1260,6,4,Late delivery,1,2016-10-30 13:47:00.0000000,Standard Class,Europe,45390
1261,5,4,Late delivery,1,2015-06-22 18:30:00.0000000,Standard Class,Europe,11494
1262,6,4,Late delivery,1,2017-11-11 06:25:00.0000000,Standard Class,Europe,71195
1263,2,4,Advance shipping,0,2017-08-21 11:26:00.0000000,Standard Class,Europe,65866
1264,2,4,Advance shipping,0,2015-10-23 11:40:00.0000000,Standard Class,Europe,20106
1265,4,4,Shipping on time,0,2017-07-28 00:16:00.0000000,Standard Class,Europe,64053
1266,2,4,Advance shipping,0,2017-10-22 01:53:00.0000000,Standard Class,Europe,70086
1267,4,4,Shipping on time,0,2015-07-14 14:26:00.0000000,Standard Class,Europe,13058
1268,4,4,Shipping on time,0,2017-09-18 04:45:00.0000000,Standard Class,Europe,67628
1269,3,4,Advance shipping,0,2017-09-09 05:27:00.0000000,Standard Class,Europe,67082
1270,4,4,Shipping on time,0,2015-06-23 22:42:00.0000000,Standard Class,Europe,11643
1271,2,4,Advance shipping,0,2017-07-10 05:11:00.0000000,Standard Class,Europe,62971
1272,6,4,Late delivery,1,2015-08-26 03:21:00.0000000,Standard Class,Europe,15835
1273,4,4,Shipping on time,0,2015-09-26 16:26:00.0000000,Standard Class,Europe,18133
1274,4,4,Shipping on time,0,2015-10-18 08:42:00.0000000,Standard Class,Europe,19618
1275,6,4,Late delivery,1,2015-06-10 15:33:00.0000000,Standard Class,Europe,10595
1276,4,4,Shipping on time,0,2016-12-07 02:31:00.0000000,Standard Class,Europe,48098
1277,5,4,Late delivery,1,2017-11-10 04:19:00.0000000,Standard Class,Europe,71189
1278,3,4,Advance shipping,0,2017-07-02 00:49:00.0000000,Standard Class,Europe,62342
1279,2,4,Advance shipping,0,2015-08-25 17:32:00.0000000,Standard Class,Europe,16081
1280,5,4,Late delivery,1,2015-09-09 03:51:00.0000000,Standard Class,Europe,16864
1281,3,4,Advance shipping,0,2015-10-15 14:19:00.0000000,Standard Class,Europe,19497
1282,5,4,Late delivery,1,2015-07-05 07:48:00.0000000,Standard Class,Europe,12354
1283,5,4,Late delivery,1,2016-11-27 11:07:00.0000000,Standard Class,Europe,47369
1284,6,4,Late delivery,1,2015-09-30 04:10:00.0000000,Standard Class,Europe,18235
1285,6,2,Late delivery,1,2017-08-27 22:39:00.0000000,Second Class,Europe,66035
1286,3,2,Late delivery,1,2016-09-23 03:40:00.0000000,Second Class,Europe,43032
1287,3,2,Late delivery,1,2015-09-17 15:24:00.0000000,Second Class,Europe,17582
1288,4,2,Late delivery,1,2017-07-06 20:16:00.0000000,Second Class,Europe,62603
1289,2,2,Shipping on time,0,2015-08-20 20:10:00.0000000,Second Class,Europe,15746
1290,5,2,Late delivery,1,2017-07-15 00:17:00.0000000,Second Class,Europe,63094
1291,2,2,Shipping on time,0,2015-06-22 12:01:00.0000000,Second Class,Europe,11681
1292,5,2,Late delivery,1,2017-10-25 23:58:00.0000000,Second Class,Europe,70149
1293,3,2,Late delivery,1,2017-10-28 04:52:00.0000000,Second Class,Europe,70437
1294,4,2,Late delivery,1,2017-09-11 08:05:00.0000000,Second Class,Europe,67158
1295,6,2,Late delivery,1,2015-10-19 08:53:00.0000000,Second Class,Europe,19550
